,imageId,task1,classnum
403,700,outerwear,1
404,701,dress,1
405,704,shoe,1
406,705,dress,1
407,706,dress,1
408,707,dress,1
409,708,shoe,1
410,709,dress,1
411,711,pants,1
412,712,dress,1
413,717,outerwear,1
414,718,dress,1
415,721,outerwear,1
416,722,shoe,1
417,724,shoe,1
418,725,shoe,1
419,726,shoe,1
420,727,shoe,1
421,729,dress,1
422,730,outerwear,1
423,731,dress,1
424,732,dress,1
425,734,pants,1
426,735,pants,1
427,738,pants,1
428,740,outerwear,1
429,743,outerwear,1
430,746,dress,1
431,749,pants,1
432,750,shoe,1
433,752,shoe,1
434,753,outerwear,1
435,754,shoe,1
436,755,outerwear,1
437,756,dress,1
438,757,shoe,1
439,762,shoe,1
440,768,dress,1
441,769,outerwear,1
442,770,outerwear,1
443,771,shoe,1
444,773,dress,1
445,774,shoe,1
446,775,outerwear,1
447,777,shoe,1
448,779,shoe,1
449,780,outerwear,1
450,781,pants,1
451,782,dress,1
452,785,pants,1
453,787,dress,1
454,789,dress,1
455,790,outerwear,1
456,792,pants,1
457,793,outerwear,1
458,795,shoe,1
459,797,outerwear,1
460,798,dress,1
461,800,dress,1
462,801,outerwear,1
463,804,dress,1
464,807,dress,1
465,812,dress,1
466,815,dress,1
467,818,pants,1
468,823,outerwear,1
469,825,dress,1
470,826,outerwear,1
471,827,pants,1
472,831,shoe,1
473,836,outerwear,1
474,842,dress,1
475,844,pants,1
476,846,outerwear,1
477,849,outerwear,1
478,850,shoe,1
479,852,shoe,1
480,856,outerwear,1
481,857,pants,1
482,858,pants,1
483,859,dress,1
484,860,outerwear,1
485,862,dress,1
486,864,dress,1
487,865,pants,1
488,866,dress,1
489,867,pants,1
490,873,pants,1
491,876,shoe,1
492,878,dress,1
493,882,dress,1
494,883,outerwear,1
495,884,dress,1
496,889,shoe,1
497,890,outerwear,1
498,893,dress,1
499,895,dress,1
500,896,outerwear,1
501,897,pants,1
502,901,outerwear,1
503,902,shoe,1
504,903,pants,1
505,904,shoe,1
506,905,outerwear,1
507,906,dress,1
508,909,outerwear,1
509,912,shoe,1
510,914,outerwear,1
511,915,shoe,1
512,919,dress,1
513,920,dress,1
514,921,shoe,1
515,922,outerwear,1
516,923,shoe,1
517,927,outerwear,1
518,928,shoe,1
519,929,outerwear,1
520,930,shoe,1
521,931,dress,1
522,932,shoe,1
523,933,outerwear,1
524,934,dress,1
525,935,shoe,1
526,936,dress,1
527,937,outerwear,1
528,938,shoe,1
529,940,dress,1
530,941,dress,1
531,943,shoe,1
532,946,shoe,1
533,947,shoe,1
534,948,shoe,1
535,951,pants,1
536,952,outerwear,1
537,953,outerwear,1
538,954,outerwear,1
539,957,dress,1
540,958,dress,1
541,959,pants,1
542,960,pants,1
543,963,shoe,1
544,965,outerwear,1
545,969,outerwear,1
546,971,dress,1
547,973,outerwear,1
548,974,dress,1
549,975,dress,1
550,977,dress,1
551,979,dress,1
552,980,dress,1
553,981,outerwear,1
554,984,outerwear,1
555,991,shoe,1
556,993,dress,1
557,996,dress,1
558,997,shoe,1
559,999,shoe,1
560,1001,outerwear,1
561,1002,outerwear,1
562,1003,pants,1
563,1005,outerwear,1
564,1006,pants,1
565,1007,pants,1
566,1008,dress,1
567,1009,dress,1
568,1011,dress,1
569,1012,outerwear,1
570,1015,dress,1
571,1017,dress,1
572,1019,dress,1
573,1021,pants,1
574,1023,outerwear,1
575,1024,pants,1
576,1025,shoe,1
577,1026,shoe,1
578,1027,outerwear,1
579,1029,dress,1
580,1032,outerwear,1
581,1035,shoe,1
582,1037,shoe,1
583,1038,dress,1
584,1043,dress,1
585,1044,outerwear,1
586,1047,outerwear,1
587,1048,shoe,1
588,1053,shoe,1
589,1054,shoe,1
590,1055,dress,1
591,1056,pants,1
592,1057,dress,1
593,1058,dress,1
594,1060,pants,1
595,1061,dress,1
596,1062,shoe,1
597,1063,shoe,1
598,1064,outerwear,1
599,1066,outerwear,1
600,1072,outerwear,1
601,1073,outerwear,1
602,1074,pants,1
603,1077,dress,1
604,1078,dress,1
605,1079,dress,1
606,1080,outerwear,1
607,1082,outerwear,1
608,1083,pants,1
609,1084,outerwear,1
610,1086,outerwear,1
611,1089,outerwear,1
612,1090,dress,1
613,1092,dress,1
614,1094,pants,1
615,1095,shoe,1
616,1097,shoe,1
617,1099,dress,1
618,1101,outerwear,1
619,1104,shoe,1
620,1105,outerwear,1
621,1106,pants,1
622,1108,outerwear,1
623,1109,dress,1
624,1111,outerwear,1
625,1113,shoe,1
626,1114,outerwear,1
627,1115,pants,1
628,1116,pants,1
629,1120,pants,1
630,1121,outerwear,1
631,1122,dress,1
632,1123,dress,1
633,1124,pants,1
634,1127,dress,1
635,1128,outerwear,1
636,1129,dress,1
637,1131,outerwear,1
638,1132,outerwear,1
639,1134,shoe,1
640,1135,dress,1
641,1137,outerwear,1
642,1138,outerwear,1
643,1145,dress,1
644,1148,pants,1
645,1150,dress,1
646,1151,outerwear,1
647,1153,outerwear,1
648,1155,dress,1
649,1157,dress,1
650,1159,dress,1
651,1161,dress,1
652,1162,outerwear,1
653,1168,shoe,1
654,1169,shoe,1
655,1171,pants,1
656,1177,dress,1
657,1178,pants,1
658,1179,dress,1
659,1180,outerwear,1
660,1183,shoe,1
661,1184,dress,1
662,1186,pants,1
663,1188,dress,1
664,1189,shoe,1
665,1190,shoe,1
666,1192,shoe,1
667,1193,dress,1
668,1195,shoe,1
669,1196,dress,1
670,1198,pants,1
671,1202,dress,1
672,1203,dress,1
673,1205,dress,1
674,1208,dress,1
675,1209,pants,1
676,1211,shoe,1
677,1212,outerwear,1
678,1213,outerwear,1
679,1215,dress,1
680,1216,dress,1
681,1217,pants,1
682,1218,shoe,1
683,1219,dress,1
684,1220,outerwear,1
685,1222,outerwear,1
686,1223,dress,1
687,1225,shoe,1
688,1226,shoe,1
689,1228,shoe,1
690,1231,dress,1
691,1233,dress,1
692,1234,outerwear,1
693,1236,dress,1
694,1238,outerwear,1
695,1240,outerwear,1
696,1242,dress,1
697,1243,outerwear,1
698,1246,outerwear,1
699,1248,shoe,1
700,1249,shoe,1
701,1252,shoe,1
702,1253,dress,1
703,1257,dress,1
704,1259,dress,1
705,1264,outerwear,1
706,1266,outerwear,1
707,1267,dress,1
708,1269,outerwear,1
709,1270,pants,1
710,1272,shoe,1
711,1277,pants,1
712,1279,shoe,1
713,1282,shoe,1
714,1283,outerwear,1
715,1284,pants,1
716,1286,outerwear,1
717,1289,shoe,1
718,1290,pants,1
719,1291,pants,1
720,1292,pants,1
721,1293,shoe,1
722,1295,outerwear,1
723,1297,outerwear,1
724,1300,dress,1
725,1301,outerwear,1
726,1302,outerwear,1
727,1303,shoe,1
728,1304,outerwear,1
729,1305,shoe,1
730,1306,dress,1
731,1307,pants,1
732,1308,outerwear,1
733,1310,outerwear,1
734,1312,shoe,1
735,1313,dress,1
736,1315,pants,1
737,1316,outerwear,1
738,1318,shoe,1
739,1319,outerwear,1
740,1321,outerwear,1
741,1324,shoe,1
742,1325,dress,1
743,1326,shoe,1
744,1327,dress,1
745,1330,dress,1
746,1335,shoe,1
747,1339,outerwear,1
748,1340,dress,1
749,1341,dress,1
750,1342,dress,1
751,1346,outerwear,1
752,1349,dress,1
753,1350,shoe,1
754,1351,dress,1
755,1353,pants,1
756,1354,pants,1
757,1356,dress,1
758,1358,dress,1
759,1360,outerwear,1
760,1362,outerwear,1
761,1363,shoe,1
762,1366,dress,1
763,1369,dress,1
764,1372,shoe,1
765,1373,shoe,1
766,1376,pants,1
767,1377,outerwear,1
768,1378,outerwear,1
769,1380,dress,1
770,1381,dress,1
771,1385,shoe,1
772,1387,outerwear,1
773,1389,outerwear,1
774,1390,pants,1
775,1395,shoe,1
776,1401,shoe,1
777,1402,dress,1
778,1403,outerwear,1
779,1406,pants,1
780,1407,dress,1
781,1408,dress,1
782,1412,dress,1
783,1415,outerwear,1
784,1417,shoe,1
785,1418,outerwear,1
786,1419,shoe,1
787,1420,dress,1
788,1423,dress,1
789,1427,outerwear,1
790,1428,dress,1
791,1429,dress,1
792,1430,shoe,1
793,1432,shoe,1
794,1433,shoe,1
795,1434,pants,1
796,1435,dress,1
797,1436,pants,1
798,1437,outerwear,1
799,1439,dress,1
800,1440,shoe,1
801,1447,shoe,1
802,1449,dress,1
803,1450,dress,1
804,1452,dress,1
805,1457,shoe,1
806,1458,dress,1
807,1459,shoe,1
808,1465,dress,1
809,1467,shoe,1
810,1470,outerwear,1
811,1472,shoe,1
812,1473,outerwear,1
813,1474,shoe,1
814,1476,pants,1
815,1477,shoe,1
816,1478,dress,1
817,1479,dress,1
818,1480,dress,1
819,1482,shoe,1
820,1483,outerwear,1
821,1484,outerwear,1
822,1485,shoe,1
823,1493,shoe,1
824,1494,outerwear,1
825,1495,pants,1
826,1497,dress,1
827,1498,shoe,1
828,1501,dress,1
829,1503,outerwear,1
830,1504,dress,1
831,1505,dress,1
832,1506,pants,1
833,1507,shoe,1
834,1511,outerwear,1
835,1514,dress,1
836,1515,shoe,1
837,1518,dress,1
838,1519,outerwear,1
839,1520,shoe,1
840,1522,outerwear,1
841,1523,shoe,1
842,1526,dress,1
843,1527,dress,1
844,1530,outerwear,1
845,1531,dress,1
846,1532,dress,1
847,1538,dress,1
848,1539,shoe,1
849,1540,outerwear,1
850,1541,dress,1
851,1543,outerwear,1
852,1548,shoe,1
853,1553,outerwear,1
854,1558,outerwear,1
855,1559,dress,1
856,1564,pants,1
857,1569,outerwear,1
858,1572,outerwear,1
859,1573,pants,1
860,1574,pants,1
861,1575,dress,1
862,1576,shoe,1
863,1579,outerwear,1
864,1582,dress,1
865,1583,outerwear,1
866,1584,shoe,1
867,1585,outerwear,1
868,1587,dress,1
869,1590,dress,1
870,1591,outerwear,1
871,1592,shoe,1
872,1594,shoe,1
873,1595,outerwear,1
874,1596,pants,1
875,1598,shoe,1
876,1599,shoe,1
877,1602,pants,1
878,1603,shoe,1
879,1605,shoe,1
880,1607,pants,1
881,1609,shoe,1
882,1611,outerwear,1
883,1612,dress,1
884,1613,shoe,1
885,1615,dress,1
886,1616,outerwear,1
887,1618,outerwear,1
888,1623,dress,1
889,1625,dress,1
890,1629,pants,1
891,1630,outerwear,1
892,1632,dress,1
893,1633,outerwear,1
894,1636,pants,1
895,1638,shoe,1
896,1639,shoe,1
897,1641,shoe,1
898,1642,shoe,1
899,1644,shoe,1
900,1645,shoe,1
901,1646,outerwear,1
902,1647,outerwear,1
903,1649,outerwear,1
904,1653,dress,1
905,1656,outerwear,1
906,1663,pants,1
907,1665,outerwear,1
908,1669,dress,1
909,1670,dress,1
910,1673,shoe,1
911,1677,shoe,1
912,1679,dress,1
913,1681,shoe,1
914,1682,dress,1
915,1683,outerwear,1
916,1684,shoe,1
917,1685,shoe,1
918,1689,shoe,1
919,1690,outerwear,1
920,1691,pants,1
921,1692,outerwear,1
922,1694,shoe,1
923,1696,pants,1
924,1697,shoe,1
925,1698,dress,1
926,1699,shoe,1
927,1700,shoe,1
928,1702,dress,1
929,1705,shoe,1
930,1707,shoe,1
931,1708,outerwear,1
932,1709,dress,1
933,1710,dress,1
934,1711,outerwear,1
935,1712,outerwear,1
936,1713,outerwear,1
937,1715,dress,1
938,1716,dress,1
939,1719,dress,1
940,1720,pants,1
941,1721,dress,1
942,1723,shoe,1
943,1725,outerwear,1
944,1726,shoe,1
945,1728,dress,1
946,1729,shoe,1
947,1730,outerwear,1
948,1732,outerwear,1
949,1738,shoe,1
950,1739,outerwear,1
951,1740,pants,1
952,1741,dress,1
953,1743,shoe,1
954,1744,shoe,1
955,1745,outerwear,1
956,1750,outerwear,1
957,1751,pants,1
958,1752,outerwear,1
959,1754,dress,1
960,1755,dress,1
961,1756,shoe,1
962,1758,outerwear,1
963,1761,dress,1
964,1762,shoe,1
965,1763,dress,1
966,1764,shoe,1
967,1765,shoe,1
968,1770,dress,1
969,1771,pants,1
970,1772,pants,1
971,1774,dress,1
972,1776,outerwear,1
973,1777,outerwear,1
974,1780,outerwear,1
975,1781,outerwear,1
976,1782,shoe,1
977,1783,outerwear,1
978,1786,dress,1
979,1789,shoe,1
980,1790,pants,1
981,1791,outerwear,1
982,1792,pants,1
983,1793,outerwear,1
984,1794,outerwear,1
985,1795,pants,1
986,1798,dress,1
987,1800,shoe,1
988,1801,pants,1
989,1803,shoe,1
990,1804,shoe,1
991,1805,shoe,1
992,1806,outerwear,1
993,1808,pants,1
994,1809,outerwear,1
995,1810,dress,1
996,1811,dress,1
997,1812,outerwear,1
998,1813,outerwear,1
999,1814,outerwear,1
1000,1815,shoe,1
1001,1816,shoe,1
1002,1817,dress,1
1003,1818,dress,1
1004,1820,dress,1
1005,1821,shoe,1
1006,1822,pants,1
1007,1826,shoe,1
1008,1827,dress,1
1009,1828,shoe,1
1010,1837,outerwear,1
1011,1840,dress,1
1012,1842,shoe,1
1013,1843,shoe,1
1014,1844,shoe,1
1015,1846,shoe,1
1016,1847,shoe,1
1017,1851,dress,1
1018,1852,outerwear,1
1019,1853,dress,1
1020,1855,dress,1
1021,1856,outerwear,1
1022,1857,outerwear,1
1023,1858,outerwear,1
1024,1859,dress,1
1025,1861,dress,1
1026,1862,dress,1
1027,1863,dress,1
1028,1866,dress,1
1029,1868,dress,1
1030,1869,dress,1
1031,1872,outerwear,1
1032,1873,shoe,1
1033,1874,outerwear,1
1034,1875,dress,1
1035,1877,shoe,1
1036,1878,dress,1
1037,1879,dress,1
1038,1880,shoe,1
1039,1883,outerwear,1
1040,1886,dress,1
1041,1887,shoe,1
1042,1888,dress,1
1043,1890,outerwear,1
1044,1891,shoe,1
1045,1892,shoe,1
1046,1893,dress,1
1047,1895,dress,1
1048,1896,dress,1
1049,1897,dress,1
1050,1899,outerwear,1
1051,1900,dress,1
1052,1901,pants,1
1053,1902,shoe,1
1054,1905,pants,1
1055,1908,outerwear,1
1056,1909,shoe,1
1057,1911,shoe,1
1058,1912,shoe,1
1059,1913,outerwear,1
1060,1914,shoe,1
1061,1916,dress,1
1062,1919,dress,1
1063,1921,shoe,1
1064,1922,dress,1
1065,1923,outerwear,1
1066,1925,outerwear,1
1067,1927,shoe,1
1068,1928,dress,1
1069,1930,outerwear,1
1070,1932,dress,1
1071,1933,dress,1
1072,1934,pants,1
1073,1940,shoe,1
1074,1941,outerwear,1
1075,1944,outerwear,1
1076,1945,dress,1
1077,1946,dress,1
1078,1947,dress,1
1079,1948,outerwear,1
1080,1951,outerwear,1
1081,1952,shoe,1
1082,1954,dress,1
1083,1955,dress,1
1084,1958,shoe,1
1085,1959,shoe,1
1086,1961,dress,1
1087,1962,outerwear,1
1088,1966,outerwear,1
1089,1967,dress,1
1090,1969,shoe,1
1091,1971,outerwear,1
1092,1973,dress,1
1093,1974,shoe,1
1094,1976,pants,1
1095,1979,outerwear,1
1096,1980,outerwear,1
1097,1982,shoe,1
1098,1985,dress,1
1099,1989,dress,1
1100,1991,shoe,1
1101,1992,shoe,1
1102,1993,pants,1
1103,2000,outerwear,1
1104,2002,shoe,1
1105,2003,shoe,1
1106,2004,pants,1
1107,2007,outerwear,1
1108,2009,outerwear,1
1109,2010,dress,1
1110,2014,dress,1
1111,2015,shoe,1
1112,2016,dress,1
1113,2017,shoe,1
1114,2018,shoe,1
1115,2020,dress,1
1116,2021,outerwear,1
1117,2022,dress,1
1118,2023,outerwear,1
1119,2025,pants,1
1120,2026,pants,1
1121,2027,pants,1
1122,2029,pants,1
1123,2030,dress,1
1124,2031,outerwear,1
1125,2034,dress,1
1126,2036,shoe,1
1127,2037,shoe,1
1128,2039,dress,1
1129,2041,shoe,1
1130,2043,pants,1
1131,2044,dress,1
1132,2045,outerwear,1
1133,2046,shoe,1
1134,2049,outerwear,1
1135,2052,outerwear,1
1136,2053,shoe,1
1137,2054,pants,1
1138,2055,dress,1
1139,2056,outerwear,1
1140,2059,shoe,1
1141,2062,shoe,1
1142,2063,dress,1
1143,2064,dress,1
1144,2065,dress,1
1145,2066,shoe,1
1146,2067,shoe,1
1147,2068,outerwear,1
1148,2069,outerwear,1
1149,2071,outerwear,1
1150,2072,dress,1
1151,2074,dress,1
1152,2076,dress,1
1153,2077,pants,1
1154,2079,pants,1
1155,2080,dress,1
1156,2081,shoe,1
1157,2082,dress,1
1158,2083,dress,1
1159,2084,dress,1
1160,2085,outerwear,1
1161,2088,dress,1
1162,2090,dress,1
1163,2093,dress,1
1164,2095,shoe,1
1165,2096,outerwear,1
1166,2097,outerwear,2
1167,2097,pants,2
1168,2098,shoe,1
1169,2100,shoe,1
1170,2103,dress,1
1171,2104,dress,1
1172,2105,shoe,1
1173,2106,dress,1
1174,2107,outerwear,1
1175,2108,dress,1
1176,2109,dress,1
1177,2110,shoe,1
1178,2112,dress,1
1179,2113,shoe,1
1180,2114,dress,1
1181,2116,dress,1
1182,2117,dress,1
1183,2118,shoe,1
1184,2119,dress,1
1185,2120,pants,1
1186,2123,shoe,1
1187,2124,dress,1
1188,2125,dress,1
1189,2128,shoe,1
1190,2129,shoe,1
1191,2131,pants,1
1192,2132,pants,1
1193,2133,dress,1
1194,2134,dress,1
1195,2135,pants,1
1196,2138,outerwear,1
1197,2139,dress,1
1198,2140,outerwear,1
1199,2141,outerwear,1
1200,2142,dress,1
1201,2143,shoe,1
1202,2145,dress,1
1203,2146,dress,1
1204,2147,pants,1
1205,2149,dress,1
1206,2151,outerwear,1
1207,2153,outerwear,1
1208,2154,shoe,1
1209,2161,outerwear,1
1210,2163,outerwear,1
1211,2164,outerwear,1
1212,2165,shoe,1
1213,2166,pants,1
1214,2167,outerwear,1
1215,2168,dress,1
1216,2170,pants,1
1217,2173,dress,1
1218,2175,shoe,1
1219,2176,outerwear,1
1220,2177,shoe,1
1221,2181,outerwear,1
1222,2185,shoe,1
1223,2186,pants,1
1224,2190,pants,1
1225,2193,dress,1
1226,2199,dress,1
1227,2200,outerwear,1
1228,2201,outerwear,1
1229,2206,shoe,1
1230,2207,outerwear,1
1231,2208,outerwear,1
1232,2209,dress,1
1233,2210,dress,1
1234,2212,outerwear,1
1235,2213,outerwear,1
1236,2215,dress,1
1237,2220,dress,1
1238,2222,dress,1
1239,2224,outerwear,1
1240,2225,dress,1
1241,2226,shoe,1
1242,2230,shoe,1
1243,2233,outerwear,1
1244,2234,outerwear,1
1245,2235,outerwear,1
1246,2236,shoe,1
1247,2237,dress,1
1248,2239,outerwear,1
1249,2240,dress,1
1250,2243,outerwear,1
1251,2245,dress,1
1252,2246,dress,1
1253,2247,outerwear,1
1254,2249,outerwear,1
1255,2250,shoe,1
1256,2251,dress,1
1257,2255,pants,1
1258,2256,dress,1
1259,2258,dress,1
1260,2261,outerwear,1
1261,2262,dress,1
1262,2263,outerwear,1
1263,2264,shoe,1
1264,2266,dress,1
1265,2267,outerwear,1
1266,2268,dress,1
1267,2269,outerwear,1
1268,2276,dress,1
1269,2278,shoe,1
1270,2279,shoe,1
1271,2280,dress,1
1272,2281,shoe,1
1273,2284,dress,1
1274,2285,dress,1
1275,2291,dress,1
1276,2292,outerwear,1
1277,2293,outerwear,1
1278,2294,pants,1
1279,2295,shoe,1
1280,2298,dress,1
1281,2299,dress,1
1282,2300,shoe,1
1283,2302,shoe,1
1284,2303,pants,1
1285,2306,shoe,1
1286,2309,shoe,1
1287,2310,outerwear,1
1288,2311,dress,1
1289,2313,pants,1
1290,2316,shoe,1
1291,2317,outerwear,1
1292,2318,dress,1
1293,2320,dress,1
1294,2321,dress,1
1295,2322,shoe,1
1296,2323,shoe,1
1297,2324,dress,1
1298,2326,dress,1
1299,2327,shoe,1
1300,2328,dress,1
1301,2330,pants,1
1302,2331,pants,1
1303,2332,dress,1
1304,2334,outerwear,1
1305,2335,shoe,1
1306,2336,pants,1
1307,2337,dress,1
1308,2339,dress,1
1309,2340,pants,1
1310,2341,outerwear,1
1311,2342,pants,1
1312,2343,outerwear,1
1313,2347,outerwear,1
1314,2353,shoe,1
