,labelId,imageId,taskId,labelName,taskName,tasknum,task1,task2
88,106,73,17,light blue,outerwear:color,2,outerwear,color
91,125,76,30,flowers,shoe:decoration,2,shoe,decoration
92,4,77,1,women,shoe:gender,2,shoe,gender
95,90,80,14,office,dress:occasion,2,dress,occasion
99,60,82,13,parka,outerwear:type,2,outerwear,type
100,1,82,15,men,outerwear:gender,2,outerwear,gender
101,22,83,9,boot,shoe:type,2,shoe,type
102,23,84,6,red,dress:color,2,dress,color
103,127,85,3,nude,shoe:color,2,shoe,color
104,128,85,9,sandals,shoe:type,2,shoe,type
105,107,86,25,print,pants:pattern,2,pants,pattern
106,107,86,24,print,pants:decoration,2,pants,decoration
107,1,86,32,men,pants:gender,2,pants,gender
108,2,86,31,adult,pants:age,2,pants,age
109,4,87,40,women,dress:gender,2,dress,gender
115,103,91,14,quinceanera,dress:occasion,2,dress,occasion
116,135,92,7,pvc,dress:material,2,dress,material
118,61,94,11,yellow,pants:color,2,pants,color
119,29,95,18,wedges,shoe:heel type,2,shoe,heel type
121,108,97,5,sequined,dress:decoration,2,dress,decoration
122,20,98,3,blue,shoe:color,2,shoe,color
123,84,99,6,gold,dress:color,2,dress,color
124,23,100,17,red,outerwear:color,2,outerwear,color
125,142,101,23,sports,pants:type,2,pants,type
128,45,104,21,cashmere,outerwear:material,2,outerwear,material
137,6,108,5,printed,dress:decoration,2,dress,decoration
139,112,110,7,cotton,dress:material,2,dress,material
142,47,113,4,high,shoe:up height,2,shoe,up height
146,155,116,5,crystal,dress:decoration,2,dress,decoration
147,158,117,7,silk chiffon,dress:material,2,dress,material
148,50,117,7,chiffon,dress:material,2,dress,material
149,123,118,21,faux fur,outerwear:material,2,outerwear,material
151,4,120,32,women,pants:gender,2,pants,gender
154,27,123,13,coats,outerwear:type,2,outerwear,type
155,2,123,20,adult,outerwear:age,2,outerwear,age
156,4,123,15,women,outerwear:gender,2,outerwear,gender
157,27,124,13,coats,outerwear:type,2,outerwear,type
160,4,126,15,women,outerwear:gender,2,outerwear,gender
161,2,126,20,adult,outerwear:age,2,outerwear,age
162,165,127,9,pump,shoe:type,2,shoe,type
164,169,129,6,orange,dress:color,2,dress,color
165,72,129,14,red carpet,dress:occasion,2,dress,occasion
166,89,129,12,mini,dress:length,2,dress,length
167,173,130,25,camo,pants:pattern,2,pants,pattern
168,173,130,11,camo,pants:color,2,pants,color
173,122,134,14,cocktail,dress:occasion,2,dress,occasion
176,22,137,9,boot,shoe:type,2,shoe,type
177,178,138,17,brown,outerwear:color,2,outerwear,color
178,28,138,17,camel,outerwear:color,2,outerwear,color
179,27,138,13,coats,outerwear:type,2,outerwear,type
180,45,138,21,cashmere,outerwear:material,2,outerwear,material
181,179,139,6,turquoise,dress:color,2,dress,color
182,113,140,7,denim,dress:material,2,dress,material
183,4,140,40,women,dress:gender,2,dress,gender
184,2,140,29,adult,dress:age,2,dress,age
185,1,141,1,men,shoe:gender,2,shoe,gender
186,2,141,2,adult,shoe:age,2,shoe,age
188,22,143,9,boot,shoe:type,2,shoe,type
189,181,144,24,high waisted,pants:decoration,2,pants,decoration
190,1,145,15,men,outerwear:gender,2,outerwear,gender
198,108,149,5,sequined,dress:decoration,2,dress,decoration
199,40,149,6,silver,dress:color,2,dress,color
201,185,151,30,metallic,shoe:decoration,2,shoe,decoration
202,67,152,25,skeleton,pants:pattern,2,pants,pattern
203,186,153,5,vintage,dress:decoration,2,dress,decoration
204,27,154,13,coats,outerwear:type,2,outerwear,type
205,84,155,6,gold,dress:color,2,dress,color
206,165,156,9,pump,shoe:type,2,shoe,type
210,101,160,21,wool,outerwear:material,2,outerwear,material
211,27,160,13,coats,outerwear:type,2,outerwear,type
212,190,161,33,fringe,outerwear:pattern,2,outerwear,pattern
213,71,162,13,jackets,outerwear:type,2,outerwear,type
215,37,164,3,white,shoe:color,2,shoe,color
218,194,167,36,alligator,shoe:material,2,shoe,material
219,4,168,40,women,dress:gender,2,dress,gender
220,41,169,17,pink,outerwear:color,2,outerwear,color
221,195,170,24,slit,pants:decoration,2,pants,decoration
222,122,171,14,cocktail,dress:occasion,2,dress,occasion
223,3,171,6,black,dress:color,2,dress,color
224,196,171,14,prom,dress:occasion,2,dress,occasion
226,57,173,10,laceup,shoe:closure type,2,shoe,closure type
227,4,173,1,women,shoe:gender,2,shoe,gender
228,179,174,6,turquoise,dress:color,2,dress,color
229,197,175,34,brogue,shoe:flat type,2,shoe,flat type
232,163,177,8,shift,dress:silhouette,2,dress,silhouette
233,49,178,37,stripe,dress:pattern,2,dress,pattern
235,3,180,17,black,outerwear:color,2,outerwear,color
236,27,180,13,coats,outerwear:type,2,outerwear,type
237,2,180,20,adult,outerwear:age,2,outerwear,age
238,1,180,15,men,outerwear:gender,2,outerwear,gender
241,60,182,13,parka,outerwear:type,2,outerwear,type
245,4,185,1,women,shoe:gender,2,shoe,gender
249,203,188,11,dark grey,pants:color,2,pants,color
250,40,189,3,silver,shoe:color,2,shoe,color
255,29,192,18,wedges,shoe:heel type,2,shoe,heel type
256,207,193,8,bodycon,dress:silhouette,2,dress,silhouette
258,29,195,18,wedges,shoe:heel type,2,shoe,heel type
259,3,196,6,black,dress:color,2,dress,color
260,60,197,13,parka,outerwear:type,2,outerwear,type
261,23,198,6,red,dress:color,2,dress,color
262,39,199,6,green,dress:color,2,dress,color
265,132,201,6,light pink,dress:color,2,dress,color
266,64,202,7,satin,dress:material,2,dress,material
267,6,203,5,printed,dress:decoration,2,dress,decoration
275,36,206,19,hooded,outerwear:collar,2,outerwear,collar
276,9,207,25,mermaid,pants:pattern,2,pants,pattern
277,28,208,17,camel,outerwear:color,2,outerwear,color
278,27,208,13,coats,outerwear:type,2,outerwear,type
281,126,211,34,loafers,shoe:flat type,2,shoe,flat type
282,126,211,9,loafers,shoe:type,2,shoe,type
283,128,212,9,sandals,shoe:type,2,shoe,type
285,4,214,15,women,outerwear:gender,2,outerwear,gender
287,214,216,26,latex,pants:material,2,pants,material
288,1,217,15,men,outerwear:gender,2,outerwear,gender
289,2,218,20,adult,outerwear:age,2,outerwear,age
290,1,218,15,men,outerwear:gender,2,outerwear,gender
293,71,221,13,jackets,outerwear:type,2,outerwear,type
296,84,224,17,gold,outerwear:color,2,outerwear,color
297,20,225,17,blue,outerwear:color,2,outerwear,color
301,20,228,6,blue,dress:color,2,dress,color
302,41,229,17,pink,outerwear:color,2,outerwear,color
303,27,229,13,coats,outerwear:type,2,outerwear,type
306,4,231,1,women,shoe:gender,2,shoe,gender
307,221,231,30,waterproof,shoe:decoration,2,shoe,decoration
309,92,233,21,leather,outerwear:material,2,outerwear,material
310,65,234,12,maxi,dress:length,2,dress,length
315,29,236,18,wedges,shoe:heel type,2,shoe,heel type
317,226,238,14,engagement,dress:occasion,2,dress,occasion
320,112,241,7,cotton,dress:material,2,dress,material
323,50,244,7,chiffon,dress:material,2,dress,material
324,34,244,12,long,dress:length,2,dress,length
325,41,244,6,pink,dress:color,2,dress,color
326,116,245,11,leopard,pants:color,2,pants,color
327,116,245,25,leopard,pants:pattern,2,pants,pattern
328,55,246,37,floral,dress:pattern,2,dress,pattern
329,14,247,12,midi,dress:length,2,dress,length
330,215,247,14,summer,dress:occasion,2,dress,occasion
331,113,247,7,denim,dress:material,2,dress,material
333,188,249,24,bleached,pants:decoration,2,pants,decoration
334,30,250,12,short,dress:length,2,dress,length
335,71,251,13,jackets,outerwear:type,2,outerwear,type
336,117,252,5,glitter,dress:decoration,2,dress,decoration
337,84,252,6,gold,dress:color,2,dress,color
338,111,253,11,gray,pants:color,2,pants,color
340,4,255,1,women,shoe:gender,2,shoe,gender
344,42,258,2,kids,shoe:age,2,shoe,age
346,92,260,7,leather,dress:material,2,dress,material
348,116,262,11,leopard,pants:color,2,pants,color
349,116,262,25,leopard,pants:pattern,2,pants,pattern
350,27,263,13,coats,outerwear:type,2,outerwear,type
351,37,264,6,white,dress:color,2,dress,color
354,130,266,41,platform,shoe:back counter type,2,shoe,back counter type
355,131,266,18,platforms,shoe:heel type,2,shoe,heel type
356,130,266,30,platform,shoe:decoration,2,shoe,decoration
357,239,267,13,raincoats,outerwear:type,2,outerwear,type
358,103,268,14,quinceanera,dress:occasion,2,dress,occasion
359,41,269,17,pink,outerwear:color,2,outerwear,color
360,177,270,17,tan,outerwear:color,2,outerwear,color
361,46,271,8,pencil,dress:silhouette,2,dress,silhouette
365,116,275,33,leopard,outerwear:pattern,2,outerwear,pattern
366,241,276,19,peter pan,outerwear:collar,2,outerwear,collar
369,22,278,9,boot,shoe:type,2,shoe,type
378,21,284,14,party,dress:occasion,2,dress,occasion
379,5,285,9,flat,shoe:type,2,shoe,type
380,5,285,18,flat,shoe:heel type,2,shoe,heel type
381,61,286,17,yellow,outerwear:color,2,outerwear,color
382,41,287,6,pink,dress:color,2,dress,color
384,30,289,12,short,dress:length,2,dress,length
385,157,290,28,sleeveless,outerwear:sleeve length,2,outerwear,sleeve length
386,113,291,21,denim,outerwear:material,2,outerwear,material
387,113,292,7,denim,dress:material,2,dress,material
388,22,292,9,boot,shoe:type,2,shoe,type
389,63,293,21,wool blends,outerwear:material,2,outerwear,material
390,71,294,13,jackets,outerwear:type,2,outerwear,type
392,1,296,15,men,outerwear:gender,2,outerwear,gender
393,20,297,6,blue,dress:color,2,dress,color
394,226,298,14,engagement,dress:occasion,2,dress,occasion
398,3,301,6,black,dress:color,2,dress,color
399,24,301,7,lace,dress:material,2,dress,material
401,37,303,17,white,outerwear:color,2,outerwear,color
402,127,304,3,nude,shoe:color,2,shoe,color
403,23,305,6,red,dress:color,2,dress,color
404,173,306,11,camo,pants:color,2,pants,color
405,173,306,25,camo,pants:pattern,2,pants,pattern
406,165,307,9,pump,shoe:type,2,shoe,type
407,2,308,2,adult,shoe:age,2,shoe,age
408,4,308,1,women,shoe:gender,2,shoe,gender
409,2,309,20,adult,outerwear:age,2,outerwear,age
410,1,309,15,men,outerwear:gender,2,outerwear,gender
411,4,310,1,women,shoe:gender,2,shoe,gender
412,39,311,17,green,outerwear:color,2,outerwear,color
413,129,312,11,camouflage,pants:color,2,pants,color
414,129,312,25,camouflage,pants:pattern,2,pants,pattern
415,129,312,24,camouflage,pants:decoration,2,pants,decoration
422,28,318,17,camel,outerwear:color,2,outerwear,color
423,42,319,20,kids,outerwear:age,2,outerwear,age
425,42,321,29,kids,dress:age,2,dress,age
426,38,322,11,khaki,pants:color,2,pants,color
427,1,322,32,men,pants:gender,2,pants,gender
428,252,323,21,knitted,outerwear:material,2,outerwear,material
429,162,324,38,spaghetti strap,dress:collar,2,dress,collar
430,37,324,6,white,dress:color,2,dress,color
432,22,326,9,boot,shoe:type,2,shoe,type
438,84,329,6,gold,dress:color,2,dress,color
441,54,331,21,down,outerwear:material,2,outerwear,material
442,4,332,1,women,shoe:gender,2,shoe,gender
443,133,333,14,evening,dress:occasion,2,dress,occasion
444,86,333,6,coral,dress:color,2,dress,color
445,27,334,13,coats,outerwear:type,2,outerwear,type
446,101,335,21,wool,outerwear:material,2,outerwear,material
448,4,337,40,women,dress:gender,2,dress,gender
449,10,338,9,sneaker,shoe:type,2,shoe,type
450,110,339,11,navy blue,pants:color,2,pants,color
451,41,340,6,pink,dress:color,2,dress,color
452,132,340,6,light pink,dress:color,2,dress,color
453,153,341,23,cargo,pants:type,2,pants,type
457,41,344,17,pink,outerwear:color,2,outerwear,color
460,61,347,6,yellow,dress:color,2,dress,color
463,122,350,14,cocktail,dress:occasion,2,dress,occasion
464,47,351,4,high,shoe:up height,2,shoe,up height
466,49,353,37,stripe,dress:pattern,2,dress,pattern
468,41,355,17,pink,outerwear:color,2,outerwear,color
469,61,356,6,yellow,dress:color,2,dress,color
471,47,358,4,high,shoe:up height,2,shoe,up height
474,69,361,21,windstopper,outerwear:material,2,outerwear,material
479,113,365,21,denim,outerwear:material,2,outerwear,material
480,240,366,30,jelly,shoe:decoration,2,shoe,decoration
481,5,366,18,flat,shoe:heel type,2,shoe,heel type
482,5,366,9,flat,shoe:type,2,shoe,type
483,5,366,4,flat,shoe:up height,2,shoe,up height
484,215,367,14,summer,dress:occasion,2,dress,occasion
485,264,368,6,mint,dress:color,2,dress,color
486,3,369,6,black,dress:color,2,dress,color
487,156,370,17,burgundy,outerwear:color,2,outerwear,color
488,266,370,39,pullover,outerwear:closure type,2,outerwear,closure type
489,71,371,13,jackets,outerwear:type,2,outerwear,type
492,156,374,11,burgundy,pants:color,2,pants,color
497,76,377,4,kneehigh,shoe:up height,2,shoe,up height
498,57,377,10,laceup,shoe:closure type,2,shoe,closure type
500,34,379,12,long,dress:length,2,dress,length
501,1,380,15,men,outerwear:gender,2,outerwear,gender
502,71,381,13,jackets,outerwear:type,2,outerwear,type
503,98,382,6,royal blue,dress:color,2,dress,color
506,58,385,8,skater,dress:silhouette,2,dress,silhouette
507,36,386,19,hooded,outerwear:collar,2,outerwear,collar
508,34,387,12,long,dress:length,2,dress,length
509,3,387,6,black,dress:color,2,dress,color
510,60,388,13,parka,outerwear:type,2,outerwear,type
511,1,388,15,men,outerwear:gender,2,outerwear,gender
513,111,390,6,gray,dress:color,2,dress,color
514,14,390,12,midi,dress:length,2,dress,length
516,27,392,13,coats,outerwear:type,2,outerwear,type
517,20,393,17,blue,outerwear:color,2,outerwear,color
520,23,395,6,red,dress:color,2,dress,color
521,3,395,6,black,dress:color,2,dress,color
522,226,395,14,engagement,dress:occasion,2,dress,occasion
523,9,395,8,mermaid,dress:silhouette,2,dress,silhouette
524,34,395,12,long,dress:length,2,dress,length
525,196,395,14,prom,dress:occasion,2,dress,occasion
527,41,397,6,pink,dress:color,2,dress,color
530,41,399,6,pink,dress:color,2,dress,color
531,148,400,25,ripped,pants:pattern,2,pants,pattern
532,148,400,24,ripped,pants:decoration,2,pants,decoration
533,89,401,12,mini,dress:length,2,dress,length
534,154,402,9,canvas,shoe:type,2,shoe,type
535,154,402,36,canvas,shoe:material,2,shoe,material
536,37,402,3,white,shoe:color,2,shoe,color
541,39,406,6,green,dress:color,2,dress,color
543,105,408,24,zip,pants:decoration,2,pants,decoration
544,22,409,9,boot,shoe:type,2,shoe,type
546,131,411,18,platforms,shoe:heel type,2,shoe,heel type
547,130,411,41,platform,shoe:back counter type,2,shoe,back counter type
548,128,411,9,sandals,shoe:type,2,shoe,type
549,130,411,30,platform,shoe:decoration,2,shoe,decoration
551,92,413,21,leather,outerwear:material,2,outerwear,material
553,1,415,15,men,outerwear:gender,2,outerwear,gender
554,2,415,20,adult,outerwear:age,2,outerwear,age
555,43,416,36,suede,shoe:material,2,shoe,material
556,112,417,7,cotton,dress:material,2,dress,material
558,72,419,14,red carpet,dress:occasion,2,dress,occasion
559,21,419,14,party,dress:occasion,2,dress,occasion
560,134,419,14,formal,dress:occasion,2,dress,occasion
561,196,419,14,prom,dress:occasion,2,dress,occasion
563,113,421,21,denim,outerwear:material,2,outerwear,material
564,42,422,29,kids,dress:age,2,dress,age
565,4,422,40,women,dress:gender,2,dress,gender
566,190,423,30,fringe,shoe:decoration,2,shoe,decoration
568,71,425,13,jackets,outerwear:type,2,outerwear,type
569,92,425,21,leather,outerwear:material,2,outerwear,material
571,180,427,16,pointed toe,shoe:toe shape,2,shoe,toe shape
572,133,428,14,evening,dress:occasion,2,dress,occasion
573,34,428,12,long,dress:length,2,dress,length
574,199,428,5,pleat,dress:decoration,2,dress,decoration
575,92,429,21,leather,outerwear:material,2,outerwear,material
576,265,430,16,square,shoe:toe shape,2,shoe,toe shape
577,84,431,3,gold,shoe:color,2,shoe,color
584,2,434,2,adult,shoe:age,2,shoe,age
585,4,434,1,women,shoe:gender,2,shoe,gender
587,2,436,2,adult,shoe:age,2,shoe,age
588,154,436,9,canvas,shoe:type,2,shoe,type
589,4,436,1,women,shoe:gender,2,shoe,gender
590,154,436,36,canvas,shoe:material,2,shoe,material
591,37,436,3,white,shoe:color,2,shoe,color
592,151,437,24,jogging,pants:decoration,2,pants,decoration
598,246,441,21,batik,outerwear:material,2,outerwear,material
599,23,442,6,red,dress:color,2,dress,color
601,65,444,12,maxi,dress:length,2,dress,length
606,108,447,5,sequined,dress:decoration,2,dress,decoration
608,92,449,26,leather,pants:material,2,pants,material
612,42,452,31,kids,pants:age,2,pants,age
613,113,452,26,denim,pants:material,2,pants,material
614,113,452,11,denim,pants:color,2,pants,color
615,195,453,5,slit,dress:decoration,2,dress,decoration
616,4,454,1,women,shoe:gender,2,shoe,gender
618,21,456,14,party,dress:occasion,2,dress,occasion
626,26,463,14,wedding,dress:occasion,2,dress,occasion
631,178,467,3,brown,shoe:color,2,shoe,color
632,92,467,36,leather,shoe:material,2,shoe,material
639,40,473,3,silver,shoe:color,2,shoe,color
641,108,475,5,sequined,dress:decoration,2,dress,decoration
642,84,475,6,gold,dress:color,2,dress,color
643,22,476,9,boot,shoe:type,2,shoe,type
644,47,476,4,high,shoe:up height,2,shoe,up height
645,17,477,3,beige,shoe:color,2,shoe,color
646,287,478,14,outdoor,dress:occasion,2,dress,occasion
651,1,480,15,men,outerwear:gender,2,outerwear,gender
652,2,480,20,adult,outerwear:age,2,outerwear,age
659,34,484,12,long,dress:length,2,dress,length
661,27,486,13,coats,outerwear:type,2,outerwear,type
662,101,486,21,wool,outerwear:material,2,outerwear,material
663,271,487,37,color block,dress:pattern,2,dress,pattern
664,22,488,9,boot,shoe:type,2,shoe,type
665,184,489,41,ankle strap,shoe:back counter type,2,shoe,back counter type
666,184,489,10,ankle strap,shoe:closure type,2,shoe,closure type
667,17,490,3,beige,shoe:color,2,shoe,color
668,154,490,36,canvas,shoe:material,2,shoe,material
669,92,490,36,leather,shoe:material,2,shoe,material
670,154,490,9,canvas,shoe:type,2,shoe,type
671,30,491,35,short,dress:sleeve length,2,dress,sleeve length
679,4,497,40,women,dress:gender,2,dress,gender
681,101,499,7,wool,dress:material,2,dress,material
685,10,503,9,sneaker,shoe:type,2,shoe,type
687,207,505,8,bodycon,dress:silhouette,2,dress,silhouette
688,122,505,14,cocktail,dress:occasion,2,dress,occasion
690,134,507,14,formal,dress:occasion,2,dress,occasion
691,133,507,14,evening,dress:occasion,2,dress,occasion
692,196,507,14,prom,dress:occasion,2,dress,occasion
693,8,508,7,velvet,dress:material,2,dress,material
696,39,511,6,green,dress:color,2,dress,color
698,108,513,5,sequined,dress:decoration,2,dress,decoration
699,55,514,37,floral,dress:pattern,2,dress,pattern
700,125,514,5,flowers,dress:decoration,2,dress,decoration
701,57,515,10,laceup,shoe:closure type,2,shoe,closure type
702,5,515,18,flat,shoe:heel type,2,shoe,heel type
703,5,515,9,flat,shoe:type,2,shoe,type
704,5,515,4,flat,shoe:up height,2,shoe,up height
707,117,518,30,glitter,shoe:decoration,2,shoe,decoration
709,42,520,29,kids,dress:age,2,dress,age
710,42,521,29,kids,dress:age,2,dress,age
711,128,522,9,sandals,shoe:type,2,shoe,type
713,37,524,11,white,pants:color,2,pants,color
714,195,525,5,slit,dress:decoration,2,dress,decoration
715,71,526,13,jackets,outerwear:type,2,outerwear,type
716,3,527,17,black,outerwear:color,2,outerwear,color
721,37,531,17,white,outerwear:color,2,outerwear,color
722,62,532,21,fur,outerwear:material,2,outerwear,material
723,123,532,21,faux fur,outerwear:material,2,outerwear,material
724,20,533,6,blue,dress:color,2,dress,color
725,196,533,14,prom,dress:occasion,2,dress,occasion
726,164,533,14,banquet,dress:occasion,2,dress,occasion
727,122,533,14,cocktail,dress:occasion,2,dress,occasion
728,30,533,12,short,dress:length,2,dress,length
735,294,540,14,date,dress:occasion,2,dress,occasion
736,185,541,30,metallic,shoe:decoration,2,shoe,decoration
737,295,542,6,ice blue,dress:color,2,dress,color
738,18,543,4,low,shoe:up height,2,shoe,up height
739,42,544,2,kids,shoe:age,2,shoe,age
742,84,546,6,gold,dress:color,2,dress,color
743,42,547,2,kids,shoe:age,2,shoe,age
744,296,548,21,rabbit fur,outerwear:material,2,outerwear,material
745,43,549,36,suede,shoe:material,2,shoe,material
746,8,550,21,velvet,outerwear:material,2,outerwear,material
749,297,553,6,wine,dress:color,2,dress,color
750,9,553,8,mermaid,dress:silhouette,2,dress,silhouette
751,3,554,17,black,outerwear:color,2,outerwear,color
752,149,555,5,ruffles,dress:decoration,2,dress,decoration
753,61,556,6,yellow,dress:color,2,dress,color
759,167,559,38,off shoulder,dress:collar,2,dress,collar
761,1,561,1,men,shoe:gender,2,shoe,gender
763,190,563,33,fringe,outerwear:pattern,2,outerwear,pattern
764,116,564,33,leopard,outerwear:pattern,2,outerwear,pattern
765,199,565,5,pleat,dress:decoration,2,dress,decoration
768,238,568,25,plaid,pants:pattern,2,pants,pattern
770,244,570,23,harem,pants:type,2,pants,type
772,57,572,10,laceup,shoe:closure type,2,shoe,closure type
773,57,573,10,laceup,shoe:closure type,2,shoe,closure type
775,248,575,34,ballet flats,shoe:flat type,2,shoe,flat type
776,5,575,18,flat,shoe:heel type,2,shoe,heel type
777,3,575,3,black,shoe:color,2,shoe,color
778,5,575,9,flat,shoe:type,2,shoe,type
784,4,579,15,women,outerwear:gender,2,outerwear,gender
785,2,579,20,adult,outerwear:age,2,outerwear,age
789,61,582,17,yellow,outerwear:color,2,outerwear,color
793,4,585,32,women,pants:gender,2,pants,gender
794,2,585,31,adult,pants:age,2,pants,age
795,107,585,24,print,pants:decoration,2,pants,decoration
796,55,585,25,floral,pants:pattern,2,pants,pattern
797,107,585,25,print,pants:pattern,2,pants,pattern
799,41,587,6,pink,dress:color,2,dress,color
800,34,588,12,long,dress:length,2,dress,length
801,3,588,6,black,dress:color,2,dress,color
804,37,590,17,white,outerwear:color,2,outerwear,color
807,21,593,14,party,dress:occasion,2,dress,occasion
808,170,594,9,clogs,shoe:type,2,shoe,type
809,71,595,13,jackets,outerwear:type,2,outerwear,type
812,92,597,36,leather,shoe:material,2,shoe,material
813,170,597,9,clogs,shoe:type,2,shoe,type
815,41,599,6,pink,dress:color,2,dress,color
817,5,601,18,flat,shoe:heel type,2,shoe,heel type
818,5,601,9,flat,shoe:type,2,shoe,type
819,5,601,4,flat,shoe:up height,2,shoe,up height
822,41,604,17,pink,outerwear:color,2,outerwear,color
823,27,604,13,coats,outerwear:type,2,outerwear,type
826,49,606,37,stripe,dress:pattern,2,dress,pattern
827,67,607,25,skeleton,pants:pattern,2,pants,pattern
829,10,609,9,sneaker,shoe:type,2,shoe,type
833,71,612,13,jackets,outerwear:type,2,outerwear,type
834,92,612,21,leather,outerwear:material,2,outerwear,material
835,171,613,14,casual,dress:occasion,2,dress,occasion
836,4,614,15,women,outerwear:gender,2,outerwear,gender
837,2,614,20,adult,outerwear:age,2,outerwear,age
839,4,616,32,women,pants:gender,2,pants,gender
842,128,619,9,sandals,shoe:type,2,shoe,type
843,36,620,19,hooded,outerwear:collar,2,outerwear,collar
844,40,621,3,silver,shoe:color,2,shoe,color
845,2,622,20,adult,outerwear:age,2,outerwear,age
846,1,622,15,men,outerwear:gender,2,outerwear,gender
847,2,623,20,adult,outerwear:age,2,outerwear,age
848,1,623,15,men,outerwear:gender,2,outerwear,gender
852,140,627,23,flare,pants:type,2,pants,type
853,28,628,17,camel,outerwear:color,2,outerwear,color
854,62,629,21,fur,outerwear:material,2,outerwear,material
855,27,629,13,coats,outerwear:type,2,outerwear,type
859,71,632,13,jackets,outerwear:type,2,outerwear,type
860,4,632,15,women,outerwear:gender,2,outerwear,gender
863,10,634,9,sneaker,shoe:type,2,shoe,type
865,22,636,9,boot,shoe:type,2,shoe,type
866,318,637,8,asymmetrical,dress:silhouette,2,dress,silhouette
867,72,637,14,red carpet,dress:occasion,2,dress,occasion
868,27,638,13,coats,outerwear:type,2,outerwear,type
869,103,639,14,quinceanera,dress:occasion,2,dress,occasion
870,22,640,9,boot,shoe:type,2,shoe,type
873,300,642,39,single button,outerwear:closure type,2,outerwear,closure type
876,229,644,30,tassel,shoe:decoration,2,shoe,decoration
878,22,646,9,boot,shoe:type,2,shoe,type
879,3,646,3,black,shoe:color,2,shoe,color
883,84,649,6,gold,dress:color,2,dress,color
884,22,650,9,boot,shoe:type,2,shoe,type
889,39,655,6,green,dress:color,2,dress,color
891,1,657,15,men,outerwear:gender,2,outerwear,gender
895,61,660,6,yellow,dress:color,2,dress,color
896,55,661,33,floral,outerwear:pattern,2,outerwear,pattern
899,173,664,25,camo,pants:pattern,2,pants,pattern
900,173,664,11,camo,pants:color,2,pants,color
901,22,665,9,boot,shoe:type,2,shoe,type
903,322,667,14,business,dress:occasion,2,dress,occasion
904,111,667,6,gray,dress:color,2,dress,color
905,96,667,5,bow,dress:decoration,2,dress,decoration
907,207,669,8,bodycon,dress:silhouette,2,dress,silhouette
908,3,670,3,black,shoe:color,2,shoe,color
909,164,671,14,banquet,dress:occasion,2,dress,occasion
911,89,673,12,mini,dress:length,2,dress,length
913,23,675,6,red,dress:color,2,dress,color
914,113,676,21,denim,outerwear:material,2,outerwear,material
